start_station_name,cluster,lat,lng,total_count
Franklin St & Jackson Blvd,1,41.87771179001779,-87.63533239285356,15689
Franklin St & Lake St,1,41.8858386071797,-87.63550074521707,12912
Franklin St & Madison St,1,41.88138487249964,-87.63541613329437,1369
Franklin St & Monroe St,1,41.88031598049687,-87.63518535000179,16769
Franklin St & Washington St,1,41.88318,-87.63511,6027
Fulton Market,1,41.886868971868736,-87.64809004108359,6567
Glenwood Ave & Morse Ave,2,42.00797184748813,-87.66550066792716,4517
Glenwood Ave & Touhy Ave,2,42.01270305906016,-87.66605694054675,1679
Grace/Sheffield Corral,0,41.95116021696552,-87.65460993540172,580
Granville Ave & Clark St,2,41.994400196613064,-87.66982909537354,597
Green St & Chicago Ave,2,41.8941889167852,-87.65024781690273,3009
Green St & Lake St ,0,41.88558136634028,-87.64840937780862,5225
Green St & Madison St,2,41.881859791108575,-87.64926131844085,17198
Green St & Randolph St,0,41.88360118015395,-87.64862473636259,956
Green St & Randolph St*,0,41.88360148443991,-87.64862508012062,7423
Green St & Washington Blvd,0,41.88318210555226,-87.64872723142994,6590
Greenview Ave & Diversey Pkwy,2,41.93259399641529,-87.66586036308051,4718
Greenview Ave & Fullerton Ave,2,41.92533187621219,-87.66580148126927,7550
Greenview Ave & Jarvis Ave,0,42.015962375796626,-87.66857134241138,3019
